p,n,benchid,solverid,result,time,timeout
3,300,1902,1,10,6.65,1200
3,300,1902,2,10,961.76,1200
3,300,1902,3,0,1200.06,1200
3,300,1902,4,0,1200.73,1200
3,300,1902,5,0,1200,1200
3,300,1902,6,10,201.7,1200
3,300,1902,7,10,0.07,1200
3,300,1902,8,10,22.77,1200
3,300,1902,9,10,21.45,1200
3,300,1902,15,10,0.18,1200
3,300,1902,16,10,8.05,1200
3,300,1902,17,10,7.94,1200
3,300,1902,18,10,157.81,1200
3,300,1902,19,10,84.02,1200
3,300,1902,20,0,0.64,1200
3,300,1902,21,10,304.57,1200
3,300,1902,22,10,10.93,1200
3,300,1902,24,0,9.95,1200
3,300,1902,25,10,2.96,1200
3,300,1902,26,10,8.93,1200
3,300,1902,27,10,0.05,1200
3,300,1902,28,10,0.04,1200
3,300,1902,31,10,0.09,1200
3,300,1902,32,10,4.63,1200
3,300,1902,33,10,48.26,1200
3,300,1902,34,10,8.38,1200
3,300,1902,36,0,1200,1200
3,300,1902,37,10,5.5,1200
3,300,1902,38,10,31.4,1200
3,300,1902,39,10,324.18,1200
3,300,1902,40,0,1197.48,1200
3,300,1902,41,10,1.63,1200
3,300,1902,42,10,0.03,1200
3,300,1903,1,10,1.96,1200
3,300,1903,2,0,1200.82,1200
3,300,1903,3,0,1200.96,1200
3,300,1903,4,0,1200.8,1200
3,300,1903,5,0,1200,1200
3,300,1903,6,10,345.09,1200
3,300,1903,7,10,6.27,1200
3,300,1903,8,10,5.79,1200
3,300,1903,9,10,5.45,1200
3,300,1903,15,10,0,1200
3,300,1903,16,0,1197.63,1200
3,300,1903,17,0,1194.59,1200
3,300,1903,18,10,58.63,1200
3,300,1903,19,10,62.84,1200
3,300,1903,20,0,0.31,1200
3,300,1903,21,0,1200,1200
3,300,1903,22,10,1034.55,1200
3,300,1903,24,0,9.95,1200
3,300,1903,25,10,49.3,1200
3,300,1903,26,10,15.21,1200
3,300,1903,27,10,0.13,1200
3,300,1903,28,10,0.11,1200
3,300,1903,31,10,0.14,1200
3,300,1903,32,10,3.73,1200
3,300,1903,33,10,5.16,1200
3,300,1903,34,10,8.64,1200
3,300,1903,36,0,1200,1200
3,300,1903,37,0,1200,1200
3,300,1903,38,10,67.24,1200
3,300,1903,39,0,1200,1200
3,300,1903,40,0,1197.49,1200
3,300,1903,41,10,0.26,1200
3,300,1903,42,10,0.05,1200
3,300,1904,1,0,1200,1200
3,300,1904,2,0,1200.84,1200
3,300,1904,3,0,1200.82,1200
